untiID,Чему вы научились в рамках курса?
972221,Ознакомился с инструментами науки о данных. Расширил кругозор.
457179,Получил начальный знания в области Data Science. Познакомился с инструментами обработки данных.
962169,"Поиску данных, узнала о методах их обработки, получила опыт анализа."
970839,Различным методам анализа данных
979663,Интеллектуальным методам обработки данных
952977,"Ознакомилась с основным инструментарием и технологиями, получила материалы для более детального изучения"
962381,Использованию современных технологий в рамках цифровизации при обработке измерительной информации
929753,"В рамках курса я повторила основные понятия цифровой информации, цифровой технологии, базы данных и базы знаний. Научилась обрабатывать цифровую информацию и принимать управленческие решения в зависимости от факторов и условий, определяющих производственную технологически насыщенную среду. Также овладела навыком оценки метрологических и других основных характеристик интеллектуальных датчиков, приборов и цифровых электронных систем"
934682,"- автоматизированные системы проектирования и инженерных расчетов интеллектуальных датчиков, приборов и систем;
- порядок расчета метрологических характеристики интеллектуальных датчиков, приборов и цифровых электронных систем;
- методы управления цифровой информацией и данными;
- факторы и условия, определяющие производственную деятельность в технологически насыщенной среде и относящиеся к ней решения;"
978497,"Я узнал много нового о метрологии, про современные интеллектуальные датчики , про анализ и обработку цифровой измерительное информации"
978430,Научился применять современные цифровые электронные системы получения и обработки электрорадиоизмерительной информации .
971901,Уже проходил данные дисциплины в университете.
973185,"Метрология, основный базисы измерения
Работа в MATLAB
Передаточные фукнции и характеристики ответа систем. 
Интеллектуальные датчики
Основы современной электроники
Цифровые измерительные системы
Обработка цифровых сигналов"
1011972,"Исключать грубые погрешности; изучил критерий Граббса; изучил современные интеллектуальные датчики, приборы и устройства; узнал о сети ZigBee; расширил свои знания о информационных и информоционно-измерительных системах; изучил ЛОС."
992850,Приобрел теоретические навыки в области информационно-измерительных систем.
978772,Расширила диапазон знаний в области технологии цифрового производства и искусственного интеллекта
971403,"изучая электронику в первом вузе всегда хотел понять что такое метрология, в рамках курса получил то что давно хотел изучить"
987924,закрепил пройденные материалы и узнал больше о цифровой обработке информации
933478,"В рамках курса я разобрался в понятиях цифровой информации, цифровой технологии, технологии получения и обработки электрорадиоизмерительной информации, погрешностях и методах их оценивания, обзавелся знаниями в области автоматизированных систем проектирования и инженерных расчетов интеллектуальных датчиков, устройств,овладел навыками расчета и анализа основных показателей производственной среды, расчета и проектирования интеллектуальных датчиков, а также оценки их характеристик."
971685,"Я научился проводить расчет метрологических характеристик интеллектуальных датчиков, приборов и цифровых электронных систем. Изучил системы связи и технологии цифрового производства интеллектуальных датчиков. А так же научился интелектуальной  технологии обработки цифровой измерительной информации и цифровой обработки сигналов от интеллектуальных датчиков, приборов и систем."
968910,"Изучил основные понятия, термины и определения цифровых электронных систем и обработки электрорадиоизмерительной информации."
926473,"получила компетенции в рамках программы, получила знания в области современных цифровых электронных систем"
972079,"Изучил основы расчета и конструирования
интеллектуальных датчиков, цифровых
электронных систем, цифровой обработки
электрорадиоизмерительной информации."
988662,"Все было на доступном уровне!
За время обучения получила много информации о различных формах обучения в электронной среде с примерами. Теперь осталось определить, какие из них можно использовать по своим дисциплинам для получения максимального эффекта."
986361,"Всему, что было представлено на курсе"
931412,"Курс научил определять пути повышения точности измерений, выбирать интеллектуальные датчики по заданным техническим условиям, разбираться  в технологиях обработки цифровой информации.
Помог изучить способы и методы цифровой обработки сигналов."
930481,"Получила много полезной информации в таких областях как: электроника, ЦИУ, ЦОС, беспроводная передача информации, метрология"
971921,"Научился: подбирать интеллектуальные датчики, приборы, цифровые электронные системы; проводить расчёты, проектировать и конструировать инт. датчики, приборы, цэс; оценивать метрологические и другие характеристики инт. датчиков, приборов и цэс. Подтянул базу до нужного уровня, необходимого в требованиях для успешного окончания курса благодаря пройденному материалу и освоения программы курса."
931019,Вспомнила основы метрологии.
975410,Расширила свой кругозор в сфере цифровой экономики
969892,"узнал много новых терминов, расширил свои представления о возможностях продаж и рекламы"
974202,получены новые знания в сфере цифрового маркетинга
974582,"особенности цифрового маркетинга;
технологии цифрового маркетинга;
отличать классический маркетинг от цифрового;
направления цифрового маркетинга;"
970116,Дополнительные навыки работы в системе дистанционного обучения. Разобралась в понятийном аппарате
969940,"Возможности применения краудсорсинга. Сегментирование интернет пользователей, понятия цифровой экономики"
969778,Изучил различные методы digital-marketing. Узнал возможности crowdsourcing и ремаркетинга. Изучил основы цифровой экономики.
969669,"коллаюорация, краудсорсинг, ремаркетинг и другие интересные и занимательные понятия"
974537,"Получила навыки рекламы в интернет, рассмотрела тенденции развития цифровой экономики"
969624,В рамках курса мной были получены дополнительные знания в области цифровой экономики
934565,"Я научилась некоторым базовым моментам по осуществлению продвижения товаров/услуг в сети интернет, а также нескольким интересным технологиям взаимодействия со потребителями (краудсорсинг, коллаборация)."
982530,Научилась основам и некоторым интересным инструментам взаимодействия с потребителями
969941,Получила дополнительные знания в области цифровой экономике. Приобретены навыки работы с интернет пользователями
969632,"приобретены дополнительные навыки обучения в дистанционном режими, знания в новой сфере цифровая экономика, приобретение новых навыков в маркетинговой структуре"
969844,"Понятиям цифровой экономики, краудсорсинг и другие инструменты креативного маркетинга"
972572,"В ходе изучения курса я получил новые знания в области цифрового маркетинга,  овладел способами краудсорсинга в социальных сетях. Курс полезны для расширения общего кругозора, позволил глубже понять осовремененные тенденции цифровой экономики"
964395,"Научился владеть понятиями &quot;Краудсорсинг&quot;, &quot;коллаборация&quot;, &quot;ремаркетинг&quot;, узнал где и как они используются, их виды и возможность использования"
972712,Получены дополнительные знания в области цифрового маркетинга
964077,"Ознакомились с креативными цифровыми технологиями взаимодействия с потребителями.
Узнали основные виды, возможности и платформы краудсорсинга.
Определили технологии цифрового маркетинга и его преимущества."
969991,Новым определениям в области работы с потребителями
968951,Ознакомились с цифровыми технологиями в сфере маркетинга и продаж
892991,Получили представление о технологиях цифрового маркетинга
930987,деятельности в условиях цифровизации
969693,"дополнительные навыки работы в дистанционном режиме, новые понятия в цифровой экономике"
999184,Освежил в памяти то что уже знал плюс некоторые моменты были новой информацией
977309,"познакомилась с элементами цифровой экономики, узнала об инструментах продвижения в сети Интернет, краудсорсинговых и краудфандинговых площадках, примерах коллаборации и ремаркетинга"
968971,"В эпоху цифровизации, наибольшую популярность приобретают современные способы взаимодействия потребителей и производителей, осуществляющихся с помощью интернет-сервисов, мобильных приложений, благодаря которым возможно произвести интеллектуальный анализ данных с целью выявления потенциальных клиентов и их потребностей. Благодаря курсу стало  появилось понимание о том, каким образом происходит механизм взаимодействия коллаборации и ремаркетинга, их преимущества и недостатки."
969635,В рамках курса получены дополнительные знания и навыки в области цифрового маркетинга
934314,"В рамках изучения курса я получила новые знания по цифровой экономике, технологиям маркетинга и взаимодействия с потребителями. Овладела навыками дистанционного обучения"
970181,более подробные и углубленные знания в сфере цифрового маркетинга
977880,"Научились многому, но особенно полезным для себя считаю &quot;открытие&quot; возможностей использования цифровых платформ в современном мире, в частности в образовательной сфере, где я работаю."
969780,"Ознакомились с цифровыми технологиями взаимодействия с потребителями. 
 Определили основные характеристики &quot;больших данных&quot;.
Узнали основные каналы и инструменты &quot;digital-маркетинга&quot;, преимущества маркетинга в социальных сетях, отличия краудсорсинга от аутсорсинга и разобрали конкретные примеры их действия."
963989,"узнали что такое цифровая экономика;
для чего нужен интернет вещей;
чем отличается традиционный маркетинг от диджитал -маркетинга;
что такое краудсорсинг, его возможности, достоинства и недостатки, где может применяться;
в чем заключается экономическая роль коллаборации;
что такое реммаркетинг;
в чем состоят самые большие недостатки коллаборации и ремаркетинга."
986850,"Основным принципам и методам Интернет-маркетинга, инструментариям медийного размещения, владению навыками сбора, обработки, анализа и нтерпритации необходимых данных для эффективной маркетинговой деятельности в глобальной сети"
969533,"Узнала сущность и особенности цифровой экономики, ее преимущества и недостатки, разновидности технологий взаимодействия с потребителями"
969806,Разобралась в некоторых понятиях цифровой экономики
685976,"В процессе изучения курса у меня сформировалась достаточно целостная картина о сути современных технологий работы с потребителями, среди которых, на мой взгляд, я могу применить в работе краудсорсинг, обратную связь, продвижение сайта."
969705,В рамках курса мной получены новые знания и навыки в сфере цифрового маркетинга
987407,"Узнала, что такое Краудсорсинг."
969979,Приобретены дополнительные навыки в сфере работы с потребителями
934488,"получила много полезных знаний в области цифровых технологий и маркетинга, по результатам курса у меня появились идеи по маркетингу в своем образовательном учреждении"
974882,"По итогам курса я получила много новой и интересной информации об интернет-рекламе, краудсорсинге, ремаркетинге. Считая, что многие знания я буду применять на практике, в частности собираюсь использовать рекламу в социальных сетях для продвижения услуг моей организации"
934391,"Научилась некоторым полезным инструментам взаимодействия с потенциальными клиентами: сегментации, рекламе в социальных сетях, краудсорсингу."
934379,"В рамках курсах я научилась новым технологиям работы с потребителями, основанным на взаимной выгоде, взаимодействию через интернет, получению обратной связи и др."
931036,"В рамках изученного я приобрела новые знания, ознакомилась с возможностями технологий ремаркетинга, коллаборации и краудсорсинга"
990277,"Я ознакомилась с новыми для меня понятиями:платформы,коллаборация,ремаркетинг,краудсорсинг.Вся информация интересная и познавательная!"
880299,"Новым понятиям, связанным с цифровой экономикой,  владением дистанционных технологий обучения"
970984,понятийному аппарату в области цифровой экономике
969054,"Правильно применять понятия digital-маркетинг, краудсорсинг, краудфаундинг, коллаборация , ремаркетинг, анализировать digital-платформы для бизнеса, возможности сегментации поведения интернет-пользователей, особенности ведения краудсорсинга, возможностей коллаборации."
964343,"Познакомилась с понятиями &quot;цифровая экономика&quot;, &quot;краудсорсинг&quot;, &quot;колаборация&quot;, &quot;ремаркетинг&quot; и др."
969664,получила представление о возможностях использования интернета и социальных сетей для проведения маркетинга. Поняла возможности контекстной рекламы и краудсорсинга.
973239,Получены дополнительные знания и навыки в области цифрового маркетинга
970233,"Краудсорсинг, коллаборация, ремаркетинг, цифровая экономика - и многое другое, что было неизвестным, а стало известным"
968902,"Были полезно узнать как работают современные технологии взаимодействия с потребителями, условия их использования, преимущества и недостатки"
971246,"В рамках курса  были освоены ранее не известные мне понятия и механизмы: краудсорсинг, виды краудсосинга, платформы краудсорсинга.
механизм воздействия коллаборации и ремаркетинга на целевую аудиторию. Это было полезно для общего развития."
972125,"Наконец узнала значение многих терминов, которые очень часто упоминаются в маркетинговой среде. Надеюсь применить на практике."
974576,"Я научилась использовать инструмент коллаборации, краудсорсинга, интернет рекламы"
1044492,"Глубокому пониманию маркетинга вообще, и цифрового маркетинга в частности.
Выявлять потребности, страхи и желания клиентов, работать с ними, выстраивать стратегии на основании этих данных. 
Выстраивать и понимать бизнес-модели.
Проводить SWOT-анализ.
Разбираться в архетипах маркетинга 4.0.
И мн. др."
973354,"Работать с бизнес-моделью Остервалдера-Пинье, познакомились с концепцией маркетинга4.0 и различными его моделями, научились выполнять SWOT-анализ, работать с инструментами технологий human-machine interface и разрабатывать ценностное предложение."
1037928,Построению бизнес-моделей по разным схемам
220,Как можно использовать маркетинг в бизнес-проектировании. SWOT анализ в использовании в маркетинге - до этого этот метод использовала только в бизнес-процессах
1006294,Получил навыки в применении цифрового маркетинга.
920045,Основам маркетинга
973645,Изучать самостоятельно незнакомый материалл
931950,"Благодаря данному курсу я приобрела знания в области цифрового  маркетинга. Узнала много для себя интересного. Спасибо огромное преподавателям за их труд и знания ,которые они нам передали за столь короткий промежуток времени !"
976538,"Систематезированная подача информации , хорошие читатели курса"
998007,"производить сегментацию, SWOT-анализ"
981530,"Узнала больше о маркетинге в целом и об особенностях цифрового маркетинга в частности, о SWOT-анализе, научилась настраивать рекламу в соцсетях, разбираться в инструментах цифрового маркетинга"
976934,"В процессе курса были освоены современные инструменты управления продуктом, ценой, дистрибьюцией и продвижением бренда компании, а также изучено управление взаимоотношениями с потребителями и клиентами в цифровой среде, выстраивание эффективных внешних и внутренних коммуникаций, основанных на оцифрованных данных."
337027,"Теории маркетинга, инструментам. анализировать, планировать, запускать марк. команию."
735848,"Я получила долгожданную базу (!) в маркетинге. Я за этим пришла, и я это получила. Сейчас очень много различных дистанционных курсов по маркетингу, но они носят в подавляющем большинстве узкий прикладной характер (только смм, или только таргетолог, или только копирайтер, и тп). При этом практически нет доступно изложенной информации о системе и стратегии маркетинга. Спрашивается, кто же должен брать в охапку всех этих таргетологов, смм-щиков и копирайтеров и выстраивать комплексную маркетинговую стратегию? Загадка :)

Таким образом, мне было радостно увидеть на курсе 
 - не давно покрывшихся пылью материалов (безусловно качественных, системных, но слишком громоздких для применения в современных реалиях бизнеса),
 - а современные, но при этом успевшие стать классикой подходы и инструменты."
974165,"Получила базовые теоретические и практические знания в маркетинге для компании.
Т.к. проект в сфере инфобизнеса, знания в цифровом маркетинге на 100% пригодятся."
657868,"оформление сайтов, смм, узнала теорию маркетинга и смм"
984841,"Я была совсем далека от маркенинга, для меня это ново. Мне очень понравился этот курс. Теперь я смогу прпименять эти навыки в компании."
351699,"Попробовать  поставить себя на место маркетолога.
Новые навыки, знания.  Вспомнить то, что необходимо для ведения бизнеса."
976653,не хватает практических примеров в цифровом маркетинге
979079,"1. Строить бизнес-модель предприятия
2. Выделять и прописывать ценности продукта
3 Выделять сегменты потребителей
4 Видеть маркетинг в целостности,  а не отдельными частями
5 Воспринимать бизнес, как единый организм и понимать, как разные блоки бизнеса влияют друг на друга 
6 Узнала историю маркетинга и отличие Маркетинга 4.0 от маркетинга 3.0"
991620,"Научилась анализировать с позиций маркетинга 4.0 свою компанию, увидела слабые и сильные стороны своей компании, познакомилась с новыми инструментами ведения маркетинга. Важным инструментом стала модель КАНО, обязательно попробую посмотреть по ней все ценностные предложения."
999724,"1. Анализировать потребности клиентов
2. Строить бизнес-модель
3. Выстраивать эффективные внешних и внутренних коммуникаций
4. проводить  SWOT-анализ при разработке стратегии развития бренда"
1046850,"Проектировать бизнес-процессы
Формировать коммуникации для связи с партнерами в цифровой среде"
973126,"Самое главное разобралась в алгоритме проведения SWOT анализа. 
Прониклась важностью сегментирования рынка и оценки именно потребительского поведения.
В стратегиях не разобралась. Сложно для меня, читать лекции и не иметь возможности задавать вопросы."
1003510,Составлять стратегию эффективного маркетинга
996376,Частично узнала новые теоретические данные в рамках курса.
658168,Что такое маркетинг и как его применять
346550,"Отличать уровни маркетинга и их концепции. Стратегическому управлению маркетингом в условиях цифровизации. Освоила инструменты цифрового маркетинга. Создание SWOT-анализа. Узнала про краудфандинг и краудсорсинг, про продвижение. Узнала про модель МАСЛОУ и модель КАНО."
469925,Делать рекламу в ВК и FB
972139,пользоваться инструментами цифрового маркетинга
1049718,Общее представление о программах для редактирования и создания сайтов
991410,Работа с фотошопом. Создание сайта
1049222,1
1056362,графический дизайн
1056407,"Было интересно работать с фотошоп, считаю и в дальнейшем мне он понадобится. Теперь могу сайт создавать на ворпресс"
1056326,Работать на Photoshop и WordPress
1056463,Создавать и редактировать изображения. Создавать сайт. Для меня как далекого от информационных технологий все было в новинку и вдвойне сложней все это запомнить. Благодаря видеоуроку и консультациям хоть как то справилась
1056748,"На курсах было достаточно теоретического материала для основ веб-дизайна, причём ёмко и лаконично. Тесты позволили проверить свой уровень знаний, практические занятия дали нам возможность поработать с изображениями для оформления своих веб-страниц, а далее оформить их текстовым материалом. Также в рамках курса научились создавать свой сайт на платформе WordPress"
1041436,"Работе с изображениями, созданию сайта"
1053453,Разработка дизайна
90074,"Освоил алгоритмические различия между криптографическими методами, включая методы по ГОСТу"
982016,"Расширила свой кругозор. Узнала новый материал. Утвердилась в понимании, что я как учитель информатики со своими учащимися идем в верном направлении. Мой учебные планы позволяют моими ученикам быть более подготовленными к обучению в ВУЗе. Спасибо."
1043096,Изучил основные алгоритмы шифрования и базовые понятия сферы.
1045594,узнал принцип работы алгоритмов шифрования
1052694,Освоил базовые методы шифрования и принципы их работы
1054043,0
1050035,Приобрел навыки по проектированию сетевой инфраструктуры и начальному конфигурированию сетевого оборудования Cisco
998273,0
972457,Системное и сетевое администрирование
907432,Изучил основы сетевого администрирования. Приобрёл навыки настройки сетевого оборудования Cisco. 
731133,"Работать с программой Cisco Packet TracerCisco Packet Tracer, настраивать сеть."
1052210,Понял принцип работы vlan на оборудовании cisco
1043048,Администрированию оборудования Cisco
533709,"Работать с программой Cisco Packet Tracer, моделировать сети с серверами, маршрутизаторами, коммутаторами и многое другое. "
982347,0
541721,Работа на оборудовании Cisco
980180,работать с аппаратурой производства фирмы CISCO
999760,"подтвердил для себя,имеющиеся практические знания."
122920,Работать в программе
1007511,"Работать с корпаративными сетями. Прописывать Vlan, пробрасывать маршруты. Создавать и администрировать сети."
978696,"Основы маршрутизации, масштабирование сетей"
1056782,Сетевым  настройкам Cisco
994970,Настраивать сеть 
989833,Системному администрированию
976838,Очень познавательный курс. Много нового узнал
999725,"Практические основы, основы маршрутизации, масштабирование сетей"
976299,0
351718,0
1029256,"Познакомилась с программой Cisco Packet Tracer, узнала многое о сети, о ее протоколах и т.д."
1015129,Укрепил знания по сетевому и системному администрированию
1034410,"Сетевому администрированию, принципам функционирования сетей, принципу работы популярных протоколов, работе с программой Cisco Pocket Tracer"
984340,Укрепил знания
1044805,Основам 
975076,"Основам сетевых технологий, основам маршрутизации и коммутации, маштабированию сетей"
990271,Ничему
975677,"Узнал много нового, научился разбираться в адресах"
988510,Настройке компьютерной сети.
998424,Производить настройку коммутационного оборудования
972902,Навыками работы системного администратора
1025086,Основам работы в PacketTracer. 
1032205,"Работе с маршрутизаторами, создание сетей"
989729,"Более глубже изучил понятия сети, ее функции и виды. Изучил симуляцию работы сети и коммутаторов Cisco"
1052596,Сетевое администрирование на базе Cisco Packet Tracer
1029285,Работе с эмулятором сетевого оборудования Cisco
1029285,Работе с эмулятором сетевого оборудования Cisco
989017,работе с программой cisco packet tracer
731208,"Научился работе в консоли Cisco, настройке маршрутизаторов и коммутаторов Cisco"
972650,Теория и практика
972365,много полезного узнал
979385,Расширила свои знания в области администрирования.
975278,Основам и практическим навыкам по сетевом и системном администрировании
1048172,0
976399,vlan
1025299,Настраивать коммутатор Cisco
999736,"Работе с CPT, различие классов сетей, понятию ""Trunk"" и ""Access"""
1033754,Просто подтянул некоторые забытые мною элементы.
986579,Знаниям необходимым для дальнейшей работы и развития в своей компании.
403626,Узнала много полезной информации.
1031797,"Создавать vlan, работать с Cisko Packet Tracer"
574890,Масштабированию сетей
881149,Теорию Cisco
970803,основным операциям при работе с оборудованием CISCO
995093,0
1031421,Настраивать коммутаторы Cisco
573892,Правильную работу компьютерной сети.
978308,многому
978424,Создавать сеть
1052575,"Настройке комутаторов и роутеров Cisco, работе с программой Cisco packet tracer"
766235,Приобрел знания в области настройки оборудования cisco
982060,Довольно хороший опыт по настройке оборудования
276124,"Моделировать сети, экспериментировать с поведением сети и оценивать возможные сценарии"
1052074,Настраивать Cisco
1053630,Работать с программой Cisco Packet Tracer
972746,Сетевому и системному администрированию 
1049801,Научился понимать более сложные сети.
972831,0
1052672,Работе с Cisco
1032167,Расширила свои познания в области системы ого администрирования
1038885,CIsco
977012,Всему полезному
988279,Научился сетевому и системному администрированию
697071,0
845922,Я научилась  управлять компьютерами.
1006637,Настраивать влан на коммутаторах Cisco 
992240,"Узнал основные понятия и термины системного администрирования, научился работать с виртуальными машинами. Познакомился с ОС Linux Ubuntu (впервые). Диагностирование архитиктуры ПК."
1055418,Научился использовать команды для автоматического обслуживания и планирования обслуживания программ и компьютера
1053085,"Я научился работать с разными ОС, с различными загрузчиками, программами, виртуальной машиной. Выучил много разных терминов, а так же получил стимул к дальнейшему изучению этой сферы деятельности"
1051752,"Узнал что такое системное администрирование его цели и задачи. Какие рутинные задачи приходится решать системному администратору в
процессе трудовой деятельности и какие инструменты нужно использовать, чтобы успешно
справляться с этими задачами."
973828,"Искать материал, способ решения самостоятельно. Самообучение."
972612,Не получилось найти время для учёбы. 
1025261,"Узнала только теорию. Мало видеоуроков. Из представленных видео неполностью раскрыта тема создания сайта. Нет поэтапного объяснения. И голос девушки, которая объясняет, очень монотонный, неусвояемый на слух."
994622,Да в общем-то ничему. Все что я узнал на курсе можно почерпнуть на различных интернет ресурсах.
454379,Практически ничему
1035949,"Познакомился с программой Фотошоп, научился писать основные коды и верстке сайта"
995008,Узнал новые ПО для верстки и возможности дизайна
894366,Освоила основы веб технологий
1048723,"Изучил основы языка Python, работу с различными типами данных, принципы разработки программ и алгоритмитизации, а также построение графического интерфейса через библиотеки tkinter и ui. "
